torneo,jugadorA,jugadorB,setsA,setsB,fecha,retirado,acesA,acesB,dobleFaltasA,dobleFaltasB,porcentajePrimerSaqueA,porcentajePrimerSaqueB,porcentajePuntosGanadosConPrimerSaqueA,porcentajePuntosGanadosConPrimerSaqueB,puntosGanadosConPrimerSaqueA,puntosGanadosConPrimerSaqueB,porcentajePuntosGanadosConSegundoSaqueA,porcentajePuntosGanadosConSegundoSaqueB,puntosGanadosConSegundoSaqueA,puntosGanadosConSegundoSaqueB,porcentajeBreakPointsSalvadosA,porcentajeBreakPointsSalvadosB,breakPointsSalvadosA,breakPointsSalvadosB,porcentajeBreakPointsA,porcentajeBreakPointsB,breakPointsA,breakPointsB,velocidadMediaPrimerSaqueA,velocidadMediaPrimerSaqueB,velocidadMediaSegundoSaqueA,velocidadMediaSegundoSaqueB,porcentajePuntosGanadosAlRestoConPrimerSaqueA,porcentajePuntosGanadosAlRestoConPrimerSaqueB,puntosGanadosAlRestoConPrimerSaqueA,puntosGanadosAlRestoConPrimerSaqueB,porcentajePuntosGanadosAlRestoConSegundoSaqueA,porcentajePuntosGanadosAlRestoConSegundoSaqueB,puntosGanadosAlRestoConSegundoSaqueA,puntosGanadosAlRestoConSegundoSaqueB,winnersA,winnersB,erroresNoForzadosA,erroresNoForzadosB,porcentajePuntosGanadosRedA,porcentajePuntosGanadosRedB,puntosGanadosRedA,puntosGanadosRedB,porcentajePuntosGanadosSaqueA,porcentajePuntosGanadosSaqueB,puntosGanadosSaqueA,puntosGanadosSaqueB,porcentajePuntosGanadosRestoA,porcentajePuntosGanadosRestoB,puntosGanadosRestoA,puntosGanadosRestoB,porcentajePuntosGanadosA,porcentajePuntosGanadosB,puntosGanadosA,puntosGanadosB,puntosGanadosUltimas10BolasA,puntosGanadosUltimas10BolasB,puntosDePartidoSalvadosA,puntosDePartidoSalvadosB,porcentajeJuegosGanadosSaqueA,porcentajeJuegosGanadosSaqueB,juegosGanadosSaqueA,juegosGanadosSaqueB,porcentajeJuegosGanadosRestoA,porcentajeJuegosGanadosRestoB,juegosGanadosRestoA,juegosGanadosRestoB,porcentajeJuegosGanadosA,porcentajeJuegosGanadosB,juegosGanadosA,juegosGanadosB,cuotaA,cuotaB,cuotaA_2,cuotaB_2,dobleA,dobleB,porcentajeJuegosGanadosPrimerSaqueA,juegosGanadosPrimerSaqueA,porcentajeJuegosGanadosPrimerSaqueB,juegosGanadosPrimerSaqueB,porcentajeJuegosGanadosSegundoSaqueA,JuegosGanadosSegundoSaqueA,porcentajeJuegosGanadosSegundoSaqueB,JuegosGanadosSegundoSaqueB,BreakPointsSalvadosA,BreakPointsSalvadosB,PuntosGanadosAlRestoConPrimerSaqueA,PuntosGanadosAlRestoConPrimerSaqueB,porcentajePuntosGanadosAlRestoA,PuntosGanadosAlRestoA,porcentajePuntosGanadosAlRestoB,PuntosGanadosAlRestoB,PuntosGanadosAlRestoConSegundoSaqueA,PuntosGanadosAlRestoConSegundoSaqueB,porcentajePuntosBreakConvertidosA,PuntosBreakConvertidosA,porcentajePuntosBreakConvertidosB,PuntosBreakConvertidosB,PuntosGanadosRedA,PuntosGanadosRedB,porcentajePuntosGanadosAlSaqueA,PuntosGanadosAlSaqueA,porcentajePuntosGanadosAlSaqueB,PuntosGanadosAlSaqueB,PuntosGanadosA,PuntosGanadosB,PuntosGanadosUltimas10BolasA,PuntosGanadosUltimas10BolasB,BolasDePartidoSalvadasA,BolasDePartidoSalvadasB,porcentajeJuegosGanadosAlSaqueA,JuegosGanadosAlSaqueA,porcentajeJuegosGanadosAlSaqueB,JuegosGanadosAlSaqueB,porcentajeJuegosGanadosAlRestoA,JuegosGanadosAlRestoA,porcentajeJuegosGanadosAlRestoB,JuegosGanadosAlRestoB,JuegosGanadosA,JuegosGanadosB
Australian Open,Sinner J.,Zverev A.,3,0,26.01. 09:45,no,6,12,,,60%,68%,,,,,,,,,0%,80%,,,,,,,196 km/h,206 km/h,151 km/h,172 km/h,31%,16%,,,50%,37%,,,32,25,27,45,77%,52%,,,,,,,,,,,56%,44%,,,,,,,,,,,,,,,60%,40%,,,1.33,3.40,1.33,3.40,2,2,84%,(48/57),69%,(45/65),63%,(24/38),50%,(15/30),(0/0),(8/10),(20/65),(9/57),37%,(35/95),24%,(23/95),(15/30),(14/38),20%,(2/10),0%,(0/0),(10/13),(14/27),76%,(72/95),63%,(60/95),(107/190),(83/190),5,5,0,0,100%,(16/16),86%,(12/14),14%,(2/14),0%,(0/16),(18/30),(12/30)
Australian Open,Sinner J.,Shelton B.,3,0,24.01. 09:45,no,8,7,,,57%,59%,,,,,,,,,71%,54%,,,,,,,192 km/h,188 km/h,158 km/h,167 km/h,43%,25%,,,42%,37%,,,23,27,26,55,70%,68%,,,,,,,,,,,57%,43%,,,,,,,,,,,,,,,64%,36%,,,1.05,11.00,1.05,11.00,0,6,75%,(38/51),57%,(40/70),63%,(24/38),46%,(22/48),(5/7),(7/13),(30/70),(13/51),47%,(56/118),30%,(27/89),(20/48),(14/38),46%,(6/13),29%,(2/7),(14/20),(17/25),70%,(62/89),53%,(62/118),(118/207),(89/207),8,2,0,0,86%,(12/14),57%,(8/14),43%,(6/14),14%,(2/14),(18/28),(10/28)
Australian Open,Djokovic N.,Zverev A.,0,1,24.01. 04:45,no,5,8,,,54%,76%,,,,,,,,,100%,100%,,,,,,,187 km/h,207 km/h,146 km/h,171 km/h,17%,28%,,,22%,40%,,,11,24,16,15,36%,50%,,,,,,,,,,,47%,53%,,,,,,,,,,,,,,,50%,50%,,,1.62,2.30,1.62,2.30,0,1,72%,(21/29),83%,(24/29),60%,(15/25),78%,(7/9),(5/5),(3/3),(5/29),(8/29),18%,(7/38),33%,(18/54),(2/9),(10/25),0%,(0/3),0%,(0/5),(5/14),(9/18),67%,(36/54),82%,(31/38),(43/92),(49/92),4,6,0,0,100%,(6/6),100%,(6/6),0%,(0/6),0%,(0/6),(6/12),(6/12)
Australian Open,Sinner J.,De Minaur A.,3,0,22.01. 10:30,no,2,2,,,64%,51%,,,,,,,,,100%,40%,,,,,,,197 km/h,191 km/h,155 km/h,159 km/h,35%,16%,,,61%,19%,,,27,10,19,26,69%,62%,,,,,,,,,,,63%,37%,,,,,,,,,,,,,,,75%,25%,,,1.17,5.00,1.17,5.00,0,1,84%,(32/38),65%,(26/40),81%,(17/21),39%,(15/38),(1/1),(4/10),(14/40),(6/38),47%,(37/78),17%,(10/59),(23/38),(4/21),60%,(6/10),0%,(0/1),(9/13),(8/13),83%,(49/59),53%,(41/78),(86/137),(51/137),7,3,0,1,100%,(12/12),50%,(6/12),50%,(6/12),0%,(0/12),(18/24),(6/24)
Australian Open,Shelton B.,Sonego L.,3,1,22.01. 05:45,no,9,3,,,71%,66%,,,,,,,,,75%,73%,,,,,,,187 km/h,185 km/h,162 km/h,153 km/h,29%,25%,,,48%,41%,,,54,63,33,55,78%,74%,,,,,,,,,,,52%,48%,,,,,,,,,,,,,,,52%,48%,,,1.36,3.20,1.36,3.20,4,1,75%,(75/100),71%,(72/101),59%,(24/41),52%,(27/52),(6/8),(8/11),(29/101),(25/100),35%,(54/153),30%,(42/141),(25/52),(17/41),27%,(3/11),25%,(2/8),(38/49),(67/90),70%,(99/141),65%,(99/153),(153/294),(141/294),7,3,0,0,91%,(20/22),86%,(19/22),14%,(3/22),9%,(2/22),(23/44),(21/44)
Australian Open,Djokovic N.,Alcaraz C.,3,1,21.01. 11:20,no,5,10,,,63%,74%,,,,,,,,,64%,54%,,,,,,,188 km/h,190 km/h,155 km/h,153 km/h,33%,37%,,,67%,42%,,,31,50,27,40,65%,64%,,,,,,,,,,,52%,48%,,,,,,,,,,,,,,,56%,44%,,,2.50,1.53,2.50,1.53,3,5,63%,(54/86),67%,(62/92),58%,(29/50),33%,(11/33),(7/11),(7/13),(30/92),(32/86),42%,(52/125),39%,(53/136),(22/33),(21/50),46%,(6/13),36%,(4/11),(22/34),(18/28),61%,(83/136),58%,(73/125),(135/261),(126/261),5,5,0,0,80%,(16/20),68%,(13/19),32%,(6/19),20%,(4/20),(22/39),(17/39)
Australian Open,Paul T.,Zverev A.,1,3,21.01. 04:15,no,9,7,,,64%,69%,,,,,,,,,43%,64%,,,,,,,188 km/h,207 km/h,144 km/h,176 km/h,28%,33%,,,48%,50%,,,44,27,56,36,74%,73%,,,,,,,,,,,47%,53%,,,,,,,,,,,,,,,49%,51%,,,3.40,1.33,3.40,1.33,2,5,67%,(51/76),72%,(67/93),50%,(21/42),52%,(22/42),(3/7),(7/11),(26/93),(25/76),34%,(46/135),39%,(46/118),(20/42),(21/42),36%,(4/11),57%,(4/7),(35/47),(24/33),61%,(72/118),66%,(89/135),(118/253),(135/253),4,6,2,0,79%,(15/19),80%,(16/20),20%,(4/20),21%,(4/19),(19/39),(20/39)
Australian Open,Michelsen A.,De Minaur A.,0,3,20.01. 10:40,no,3,5,,,67%,42%,,,,,,,,,55%,75%,,,,,,,186 km/h,193 km/h,153 km/h,157 km/h,21%,40%,,,35%,45%,,,23,28,50,25,150%,70%,,,,,,,,,,,43%,57%,,,,,,,,,,,,,,,33%,67%,,,4.00,1.25,4.00,1.25,1,1,60%,(35/58),79%,(30/38),48%,(14/29),63%,(33/52),(6/11),(3/4),(8/38),(23/58),30%,(27/90),44%,(38/87),(18/52),(13/29),25%,(1/4),45%,(5/11),(21/14),(14/20),56%,(49/87),70%,(63/90),(76/177),(101/177),5,5,0,0,62%,(8/13),93%,(13/14),7%,(1/14),38%,(5/13),(9/27),(18/27)
Australian Open,Monfils G.,Shelton B.,1,2,20.01. 06:45,no,12,7,,,60%,69%,,,,,,,,,50%,83%,,,,,,,191 km/h,192 km/h,157 km/h,167 km/h,19%,18%,,,46%,54%,,,45,51,30,35,84%,70%,,,,,,,,,,,48%,52%,,,,,,,,,,,,,,,49%,51%,,,2.30,1.62,2.30,1.62,9,3,82%,(61/74),81%,(67/83),46%,(23/50),54%,(20/37),(2/4),(5/6),(16/83),(13/74),28%,(33/120),32%,(40/124),(17/37),(27/50),17%,(1/6),50%,(2/4),(16/19),(33/47),68%,(84/124),73%,(87/120),(117/244),(127/244),2,8,0,0,89%,(17/19),94%,(17/18),6%,(1/18),11%,(2/19),(18/37),(19/37)
Australian Open,Sonego L.,Tien L.,3,1,20.01. 05:35,no,20,4,,,66%,57%,,,,,,,,,75%,55%,,,,,,,195 km/h,174 km/h,161 km/h,157 km/h,26%,10%,,,68%,56%,,,58,21,34,29,79%,60%,,,,,,,,,,,59%,41%,,,,,,,,,,,,,,,64%,36%,,,1.67,2.20,1.67,2.20,2,7,90%,(57/63),74%,(43/58),44%,(14/32),32%,(14/44),(3/4),(6/11),(15/58),(6/63),44%,(45/102),25%,(24/95),(30/44),(18/32),45%,(5/11),25%,(1/4),(19/24),(6/10),75%,(71/95),56%,(57/102),(116/197),(81/197),8,2,0,0,94%,(16/17),69%,(11/16),31%,(5/16),6%,(1/17),(21/33),(12/33)
